from_stop_id,to_stop_id,transfer_type,min_transfer_time
"de:09373:17000:53:15","de:09373:17000:53:14","2","180"
"de:09373:17000:53:15","de:09373:17000:53:16","2","180"
"de:09373:17000:53:15","de:09373:17000:53:17","2","180"
"de:09373:17000:53:15","de:09373:17000:53:4","2","180"
"de:09373:17000:53:15","de:09373:17000:53:5","2","180"
"de:09373:17000:53:15","de:09373:17000:53:6","2","180"
"de:09373:17000:53:15","de:09373:17000:53:7","2","180"
"de:09373:17000:53:15","de:09373:17000:53:8","2","180"
"de:09373:17000:53:15","de:09373:17000:53:9","2","180"
"de:09373:17000:53:16","de:09373:17000:24","2","180"
"de:09373:17000:53:16","de:09373:17000:24:2","2","180"
"de:09373:17000:53:16","de:09373:17000:53:1","2","180"
"de:09373:17000:53:16","de:09373:17000:53:10","2","180"
"de:09373:17000:53:16","de:09373:17000:53:13","2","180"
"de:09373:17000:53:16","de:09373:17000:53:14","2","180"
"de:09373:17000:53:16","de:09373:17000:53:15","2","180"
"de:09373:17000:53:16","de:09373:17000:53:17","2","180"
"de:09373:17000:53:16","de:09373:17000:53:4","2","180"
"de:09373:17000:53:16","de:09373:17000:53:5","2","180"
"de:09373:17000:53:16","de:09373:17000:53:6","2","180"
