route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"13-91-j25-1","","91","Schulzentrum Südwest - Weiherhaus - Kornburg","Stadtbus","3"
"13-91-j25-2","","91","Schulzentrum Südwest - Weiherhaus - Katzwang - Kornburg - Worzeldorf","Stadtbus","3"
"13-92-j25-1","","92","Meistersingerhalle - Langwasser Mitte - Katzwang Süd Wende","Stadtbus","3"
"13-92-j25-2","","92","Meistersingerhalle - Langwasser Mitte - Worzeldorf - Kornburg - Katzwang - Herpersdorf","Stadtbus","3"
"13-92-j25-3","","92","Meistersingerhalle - Langwasser Mitte - Worzeldorf - Kornburg - Katzwang - Herpersdorf","Stadtbus","3"
"13-93-j25-1","","93","Meistersingerhalle - Langwasser Mitte - Kornburg","Stadtbus","3"
"13-93-j25-6","","93","Meistersingerhalle - Langwasser Mitte - Kornburg","Stadtbus","3"
"13-94-j25-3","","94","Zerzabelshof Mitte bzw. Sportanlage FCN - Laufer Tor - Rathaus","Stadtbus","3"
"13-95-j25-1","","95","Mögeldorf - Schoppershof - Nordostbahnhof","Stadtbus","3"
"13-96-j25-1","","96","Meistersingerhalle - Moorenbrunn - Altenfurt - Birnthon","Stadtbus","3"
"13-97-j25-1","","97","Nordwestring - Wetzendorf - Berufsförderungswerk - Forchheimer Str.","Stadtbus","3"
"13-98-j25-1","","98","Röthenbach - Schulzentrum Südwest - Finkenbrunn - Langwasser Mitte","Stadtbus","3"
"13-99-j25-1","","99","Höfles West - Am Wegfeld - Buch Süd","Stadtbus","3"
"1-3-j25-1","","S3","Nürnberg  -  Feucht  -  Altdorf","S-Bahn","2"
"1-4-j25-1","","S4","Nürnberg - Roßtal - Heilsbronn - Wicklesgreuth - Ansbach - Dombühl - Crailsheim","S-Bahn","2"
"1-5-j25-1","","S5","Nürnberg Hbf  -  Allersberg (Rothsee)","S-Bahn","2"
"1-6-j25-1","","S6","Nürnberg  -  Fürth  -  Siegelsdorf  -  Neustadt (Aisch)","S-Bahn","2"
"16-Y01-j25-3","","N1","Hauptbahnhof - Herrnhütte - Buchenbühl","Stadtbus","3"
"16-Y01-j25-5","","N1","Hauptbahnhof - Herrnhütte - Herrmann-Löns-Str.","Stadtbus","3"
"16-Y02-j25-1","","N2","Nürnberg Hauptbahnhof - Schwaig - Hersbruck","Stadtbus","3"
"16-Y03-j25-3","","N3","Hauptbahnhof - Zerzabelshof - Heinemannbrücke","Stadtbus","3"
"16-Y04-j25-1","","N4","Hauptbahnhof - Langwasser Mitte - Brunn Schleife","Stadtbus","3"
"16-Y05-j25-1","","N5","Hauptbahnhof - Frankenstraße - Worzeldorf","Stadtbus","3"
"16-Y05-j25-3","","N5","Hauptbahnhof - Frankenstraße - Herpersdorf","Stadtbus","3"
"16-Y06-j25-1","","N6","Hauptbahnhof - Eibach - Katzwang - Kornburg","Stadtbus","3"
"16-Y06-j25-4","","N6","Hauptbahnhof - Eibach - Katzwang - Kornburg","Stadtbus","3"
"16-Y06-j25-5","","N6","Hauptbahnhof - Eibach - Katzwang - Kornburg","Stadtbus","3"
"16-Y07-j25-1","","N7","Nbg. Hauptbahnhof - Stein - Großweismannsdorf - Roßtal - Großhabersdorf","Stadtbus","3"
"16-Y07-j25-3","","N7","Nbg. Hauptbahnhof - Stein - Großweismannsdorf - Roßtal - Vincenzenbronn","Stadtbus","3"
"16-Y08-j25-3","","N8","Nürnberg Hauptbahnhof - Altenberg - Zirndorf - Bronnamberg Altenberg - Kreutles - Oberasbach - Zirndorf - Banderbach - Bronnamberg","Stadtbus","3"
"16-Y09-j25-3","","N9","Nürnberg Hauptbahnhof - Fürth Rathaus - Burgfarrnbach Fürth Rathaus - Hardhöhe - Unterfarrrnbach - Burgfarrnbach","Stadtbus","3"
"16-Y10-j25-1","","N10","Nbg. Hauptbahnhof - Großgründlach - Erlangen Tennenlohe - Hugenottenplatz","Stadtbus","3"
"16-Y10-j25-5","","N10","Nbg. Hauptbahnhof - Großgründlach - Erlangen Tennenlohe - Busbahnhof","Stadtbus","3"
"16-Y11-j25-4","","N11","Hauptbahnhof - Westfriedhof - Stadtgrenze","Stadtbus","3"
"16-Y12-j25-1","","N12","Hauptbahnhof - Maxfeld - Flughafen","Stadtbus","3"
"16-Y12-j25-9","","N12","Hauptbahnhof - Maxfeld - Flughafen","Stadtbus","3"
"16-Y13-j25-3","","N13","Nürnberg Hauptbahnhof - Schwaig - Lauf - Simmelsdorf","Stadtbus","3"
"16-Y14-j25-1","","N14","Nürnberg Hauptbahnhof - Leyh - Fürth Stadtgrenze","Stadtbus","3"
"16-Y15-j25-3","","N15","Nürnberg Hauptbahnhof - Feucht - Ochenbruck - Ezelsdorf","Stadtbus","3"
"16-Y15-j25-4","","N15","Nürnberg Hauptbahnhof - Feucht - Ochenbruck - Ezelsdorf","Stadtbus","3"
"16-Y17-j25-1","","N17","Fürth Rathaus - Stadeln - Vach - Atzenhof Mannhof - Vach - Atzenhof","Stadtbus","3"
"16-Y18-j25-1","","N18","Fürth Rathaus - Kalb-Siedlung - Dambach - Oberfürberg Dambach -  Oberfürberg","Stadtbus","3"
"16-Y20-j25-1","","N20","Fürth Rathaus - Erlangen Hauptbahnhof - Hugenottenplatz","Stadtbus","3"
"16-Y21-j25-1","","N21","Fürth -  Zirndorf  -  Cadolzburg","Stadtbus","3"
"16-Y22-j25-1","","N22","Fürth  -  Seukendorf  -  Veitsbronn  -  Langenzenn  - Wilhermsdorf  -  Fürth","Stadtbus","3"
"16-Y23-j25-1","","N23","Fürth  -  Obermichelbach  -  Tuchenbach  -  Puschendorf  - Siegelsdorf  -  Veitsbronn  -  Fürth","Stadtbus","3"
"16-Y24-j25-1","","N24","Zirndorf - Ammerndorf - Roßtal - Oberasbach","Stadtbus","3"
"16-Y27-j25-1","","N27","Westfriedhof - Hugenottenplatz","Stadtbus","3"
"16-Y28-j25-1","","N28","Hüttendorf - Hauptbahnhof - Buckenhof","Stadtbus","3"
"16-Y29-j25-1","","N29","Eltersdorf - Bruck - Hugenottenplatz","Stadtbus","3"
"16-Y29-j25-3","","N29","Eltersdorf - Bruck - Hugenottenplatz","Stadtbus","3"
"16-Y55-j25-1","","N55","Feucht - Altdorf - Nürnberg Langwasser Süd","Stadtbus","3"
"16-Y59-j25-1","","N59","Rufbus Ochenbruck Rathaus - Nürnberg Langwasser Süd","Stadtbus","3"
"16-Y60-j25-1","","N60","Nürnberg Langwasser Mitte - Röthenbach St. W. - Wendelstein - Groß-/Kleinschwarzenlohe - Nürnberg Kornburg","Stadtbus","3"
"16-Y61-j25-1","","N61","Nürnberg Reichelsdorf Bahnhof - Wolkersdorf - Schwabach Schillerplatz","Stadtbus","3"
"17-705-j25-1","","E5","Hauptbahnhof - Mögeldorf - Tiergarten (Ersatzverkehr für Straßenbahnlinie 5)","Stadtbus","3"
"17-708-j25-5","","E8","Hauptbahnhof - Ostbahnhof - Erlenstegen (Ersatzverkehr für Straßenbahnlinie 8)","Stadtbus","3"
