stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"de:09462:22100:0:4","Bayreuth Goethestr.","49.95098136","11.57741552","","Parentde:09462:22100"
"de:09462:22100:0:5","Bayreuth Goethestr.","49.95118945","11.57795451","","Parentde:09462:22100"
"de:09462:22100:0:6","Bayreuth Goethestr.","49.95129349","11.57846655","","Parentde:09462:22100"
"de:09462:22103:0:3","Bayreuth Gontardstr.","49.95758761","11.57499007","",""
"de:09462:22105:0:3","Bayreuth Grundig","49.95955833","11.60202037","",""
"de:09462:22106:0:3","Bayreuth Gymn. Chr.-Ernestinum","49.94594081","11.58340728","",""
"de:09462:22107:0:1","Bayreuth Grüner Baum","49.96117068","11.58762038","",""
"de:09462:22107:0:2","Bayreuth Grüner Baum","49.96126892","11.58726105","",""
"de:09462:22110:0:1","Bayreuth Güterbahnhof","49.95305639","11.57863723","",""
"de:09462:22110:0:2","Bayreuth Güterbahnhof","49.95351878","11.57738857","",""
"de:09462:22112:0:2","Bayreuth H.-v-Fallersleben-Str","49.94940914","11.55599968","",""
"de:09462:22114:0:1","Bayreuth Hagenstr.","49.95368639","11.58610223","",""
"de:09462:22114:0:2","Bayreuth Hagenstr.","49.95378465","11.58600341","",""
"de:09462:22116:0:1","Bayreuth Hammerstatt","49.94811432","11.59504046","","Parentde:09462:22116"
"de:09462:22116:0:2","Bayreuth Hammerstatt","49.94816635","11.59472605","","Parentde:09462:22116"
"de:09462:22117:0:2","Bayreuth Heinr.-v.-Kleist-Str.","49.93398474","11.57672381","",""
"de:09462:22120:0:1","Bayreuth Herderstr.","49.93444731","11.58032606","",""
"de:09462:22120:0:2","Bayreuth Herderstr.","49.93459186","11.58007453","",""
"de:09462:22122:0:1","Bayreuth Hofgarten","49.93890513","11.58390135","",""
"de:09462:22122:0:2","Bayreuth Hofgarten","49.93870855","11.58382050","",""
"de:09462:22124:0:3","Bayreuth Hohe Warte","49.96689725","11.58597646","",""
"de:09462:22125:0:1","Bayreuth Hohenzollernring","49.94501588","11.57074103","",""
"de:09462:22127:0:3","Bayreuth Hospitalstift","49.93889356","11.58769224","",""
"de:09462:22129:0:3","Bayreuth Humboldtstr.","49.94093442","11.56809999","",""
"de:09462:22131:0:3","Bayreuth Ind. St. Georgen West","49.95937340","11.60396972","",""
"de:09462:22133:0:1","Bayreuth Jägerstr.","49.95158827","11.57551109","",""
"de:09462:22133:0:2","Bayreuth Jägerstr.","49.95175011","11.57545719","",""
"de:09462:22135:0:1","Bayreuth Jakob-Fuchs-Str.","49.94176693","11.55396050","",""
"de:09462:22135:0:2","Bayreuth Jakob-Fuchs-Str.","49.94165130","11.55389762","",""
"de:09462:22137:0:1","Bayreuth Jakobshof","49.93330244","11.55518221","",""
"de:09462:22137:0:2","Bayreuth Jakobshof","49.93331978","11.55634104","",""
"de:09462:22139:0:2","Bayreuth Kinderklinik","49.94524134","11.53130499","",""
"de:09462:22140:0:1","Bayreuth Justizpalast","49.93966251","11.57163037","",""
"de:09462:22140:0:2","Bayreuth Justizpalast","49.93951797","11.57172020","",""
"de:09462:22141:0:1","Bayreuth Karlsbader Str.","49.95431639","11.59671133","",""
"de:09462:22141:0:2","Bayreuth Karlsbader Str.","49.95441464","11.59673828","",""
"de:09462:22142:0:1","Bayreuth Klinik Herzoghöhe","49.95128771","11.55979955","",""
"de:09462:22142:0:2","Bayreuth Klinik Herzoghöhe","49.95185415","11.55836225","",""
"de:09462:22143:0:1","Bayreuth Klinikumallee II","49.94378454","11.53898559","",""
"de:09462:22143:0:2","Bayreuth Klinikumallee II","49.94368627","11.53894067","",""
"de:09462:22144:0:1","Bayreuth Klinikumallee I","49.94355330","11.54166257","",""
"de:09462:22144:0:2","Bayreuth Klinikumallee I","49.94343190","11.54191410","",""
"de:09462:22145:0:1","Bayreuth Klinikum","49.94494651","11.53396401","",""
"de:09462:22145:0:3","Bayreuth Klinikum","49.94454185","11.53417062","",""
"de:09462:22146:0:1","Bayreuth Klopstockstr.","49.93229053","11.57717297","",""
"de:09462:22146:0:2","Bayreuth Klopstockstr.","49.93243509","11.57755026","",""
"de:09462:22148:0:1","Bayreuth Königsallee","49.93939078","11.59708862","",""
"de:09462:22148:0:2","Bayreuth Königsallee","49.93958735","11.59661251","",""
"de:09462:22150:0:1","Bayreuth Königsbergstr.","49.95476143","11.60149037","",""
"de:09462:22150:0:2","Bayreuth Königsbergstr.","49.95473253","11.60037646","",""
"de:09462:22152:0:1","Bayreuth Kreuzsteinbad","49.93490988","11.58341626","",""
"de:09462:22152:0:2","Bayreuth Kreuzsteinbad","49.93481158","11.58605731","",""
"de:09462:22154:0:1","Bayreuth Bier-Erlebnis-Welt","49.94496385","11.56668065","",""
"de:09462:22154:0:2","Bayreuth Bier-Erlebnis-Welt","49.94555350","11.56617759","",""
"de:09462:22155:0:1","Bayreuth Leibnizstr.","49.93615301","11.56972594","",""
"de:09462:22155:0:2","Bayreuth Leibnizstr.","49.93680636","11.57021103","",""
"de:09462:22159:0:1","Bayreuth Lessingweg","49.93475376","11.56274603","",""
"de:09462:22159:0:2","Bayreuth Lessingweg","49.93515851","11.56207229","",""
"de:09462:22161:0:1","Bayreuth Lippacherstr.","49.94794669","11.55814665","",""
"de:09462:22161:0:2","Bayreuth Lippacherstr.","49.94779062","11.55873056","",""
"de:09462:22163:0:1","Bayreuth Ludwig-Thoma-Brücke","49.92961899","11.56647404","",""
"de:09462:22163:0:2","Bayreuth Ludwig-Thoma-Brücke","49.92998330","11.56680641","",""
"de:09462:22165:0:1","Bayreuth Markgrafenallee","49.95231656","11.58654240","",""
"de:09462:22165:0:2","Bayreuth Markgrafenallee","49.95300437","11.58758445","",""
"de:09462:22172:0:1","Bayreuth Menzelplatz","49.93791646","11.56191059","",""
"de:09462:22172:0:2","Bayreuth Menzelplatz","49.93747127","11.56147042","",""
